min-cost,14,min-satisfactoin,77
max-cost,1037,max-satisfactoin,2656,HV,0.59929,Spread,0.40399,NDS,80
Cost,Satisfaction,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100
63,374,0,0,0,0,0,-0,0,0,1,0,-0,-0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,-0,1,0,0,0,-0,0,0,0,0,-0,0,-0,-0,0,-0,0,-0,-0,-0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,-0,0,-0,-0,-0,-0,-0,0,0,-0,1,1,0,0,1,-0,0
72,407,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,1,1,1,1,1,1,1,1,0,0,-0,0,0,-0,-0,0,-0,0,0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,-0,1,0,-0,0,1,0,0,-0,0,-0,-0,0,0,-0,-0,-0,0,0,0,0,1,-0,1,1,1,1,-0,0,0,-0,-0,-0,-0,0,0,0,0,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0
76,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
88,492,0,0,0,0,0,0,-0,-0,0,0,-0,0,-0,0,-0,-0,0,1,1,1,1,1,1,1,1,-0,0,0,0,-0,-0,-0,-0,0,-0,0,-0,0,-0,0,0,-0,0,0,-0,-0,0,1,-0,-0,0,1,0,0,0,0,0,-0,-0,-0,-0,0,-0,0,0,-0,-0,1,-0,1,1,1,1,-0,-0,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0,0,0,0,0,0,1,1,-0,-0,1,-0,0
93,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,567,0,-0,0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,0,0,0,1,1,1,1,1,1,1,1,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,-0,-0,0,0,0,-0,0,-0,-0,0,0,0,1,0,1,1,1,1,-0,0,-0,0,0,-0,-0,0,0,0,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0,-0,0,1,-0,1
110,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-0,0,0,-0,0,0,-0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,1,-0,-0,-0,-0,0,0,0,-0,0,0,-0,0,0,0,0,1,0,1,1,1,1,-0,0,0,0,0,0,0,-0,-0,0,1,1,0,-0,-0,1,-0,-0,0,1,1,1,0,-0,1,-0,1
124,654,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0,0,-0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,1,0,1,1,1,1,0,-0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
130,681,0,0,0,0,0,0,-0,0,1,0,0,-0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0,0,-0,-0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,-0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,1,0,1,1,1,1,0,-0,0,-0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
133,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
145,719,0,-0,0,-0,-0,0,0,0,1,0,0,-0,-0,0,-0,-0,0,1,1,1,1,1,1,1,1,1,1,0,-0,0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,0,-0,-0,-0,-0,1,-0,0,0,1,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,1,-0,1,1,1,1,-0,0,0,0,0,0,0,0,-0,0,1,1,0,0,0,1,0,0,0,1,1,1,-0,-0,1,-0,1
155,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-0,0,0,-0,0,0,0,0,-0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,-0,-0,0,0,1,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,1,-0,1,1,1,1,-0,0,0,-0,-0,-0,-0,-0,0,-0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
169,787,-0,-0,0,0,0,0,0,1,1,-0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0,0,0,0,0,-0,0,0,0,1,-0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
172,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
179,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
191,877,0,-0,-0,0,0,0,0,-0,0,0,-0,-0,-0,-0,-0,0,-0,1,1,1,1,1,1,1,1,-0,0,0,0,-0,-0,0,-0,0,0,0,-0,-0,0,-0,-0,-0,-0,-0,0,-0,0,1,1,1,1,1,-0,-0,-0,0,-0,0,0,-0,0,0,-0,0,-0,0,-0,1,0,1,1,1,1,0,-0,0,-0,-0,-0,0,0,0,0,-0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
194,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
212,934,0,0,0,0,0,0,-0,0,-0,0,-0,-0,0,-0,0,0,-0,1,1,1,1,1,1,1,1,0,0,-0,-0,-0,0,0,0,0,-0,-0,-0,-0,0,0,0,-0,0,0,0,0,-0,1,1,1,1,1,-0,0,0,0,-0,-0,0,-0,0,0,0,-0,0,-0,-0,1,-0,1,1,1,1,0,0,0,0,0,0,-0,-0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,970,0,-0,-0,0,0,-0,0,1,1,-0,1,1,-0,0,1,-0,0,1,1,1,1,1,1,1,1,1,1,0,-0,-0,-0,-0,0,0,-0,0,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,1,1,1,1,1,-0,-0,-0,0,0,-0,-0,0,-0,0,-0,-0,-0,0,0,1,0,1,1,1,1,0,0,0,-0,0,0,0,-0,-0,0,1,1,0,0,0,1,-0,0,0,1,1,1,1,1,1,1,0
244,1048,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
254,1077,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
270,1092,0,0,0,0,0,0,0,-0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,-0,0,0,0,-0,0,0,-0,0,0,-0,0,0,-0,0,-0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,-0,0,0,-0,-0,-0,0,0,0,1,0,1,1,1,1,-0,-0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
287,1137,0,0,0,0,0,0,-0,1,1,0,1,1,0,-0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-0,0,-0,0,-0,0,-0,-0,0,-0,0,0,0,-0,0,-0,0,0,1,1,1,1,1,0,0,0,0,-0,0,0,-0,-0,0,-0,-0,0,0,-0,1,0,1,1,1,1,-0,0,0,-0,-0,0,0,0,-0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,1142,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,-0,1,1,-0,0,-0,1,1,0,1,1,1,-0,-0,0,1,1,1,1,1,1,1,1
307,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,-0,0,1,1,1,-0,0,1,0,1
313,1195,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,-0,0,1,1,1,1,1,1,1,1,-0,0,0,0,-0,0,-0,0,-0,-0,0,0,0,0,-0,0,0,-0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,-0,-0,1,1,-0,-0,-0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,-0,-0,1,1,0,1,1,1,-0,0,-0,1,1,1,1,1,1,1,1
329,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
345,1300,-0,0,-0,-0,0,0,0,0,-0,0,0,-0,-0,0,0,-0,-0,1,1,1,1,1,1,1,1,-0,1,-0,-0,0,-0,0,0,-0,1,0,0,0,0,1,0,0,-0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-0,1,0,0,1,1,0,-0,0,1,0,1,1,1,1,0,1,1,1,-0,1,1,0,-0,0,1,1,-0,1,1,1,0,-0,-0,1,1,1,1,1,1,1,1
354,1315,-0,-0,-0,0,-0,0,-0,-0,0,0,-0,0,-0,0,-0,0,-0,1,1,1,1,1,1,1,0,0,-0,0,0,-0,-0,1,1,1,1,-0,0,0,-0,1,0,-0,-0,0,0,0,-0,1,1,1,1,1,1,1,1,1,1,1,-0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,-0,1,1,1,0,1,1,0,0,0,1,1,-0,1,1,1,-0,-0,-0,1,1,1,1,1,1,1,1
376,1387,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
392,1438,0,0,0,0,-0,0,-0,1,1,0,1,-0,-0,-0,-0,0,0,1,1,1,1,1,1,1,1,0,0,-0,0,0,0,1,1,1,1,0,-0,-0,0,1,0,-0,-0,-0,-0,0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0,0,1,1,0,-0,-0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,0,-0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
412,1447,0,0,0,0,0,0,0,-0,-0,0,-0,-0,0,0,0,-0,0,1,1,1,1,1,1,1,1,-0,0,0,0,-0,-0,1,1,1,1,0,-0,-0,0,1,-0,-0,0,0,-0,0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-0,-0,1,0,1,1,-0,1,1,1,0,-0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,-0,1,1,1,1,1,1,1,1
424,1517,0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,-0,-0,0,1,1,1,1,1,1,1,1,0,-0,0,1,1,1,1,1,1,1,0,1,1,1,1,-0,-0,-0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0,-0,1,1,-0,-0,-0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,-0,-0,1,1,0,1,1,1,-0,0,-0,1,1,1,1,1,1,1,1
428,1549,0,0,0,0,0,0,1,1,1,0,-0,-0,0,0,-0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,-0,1,1,1,1,0,0,-0,-0,1,0,-0,0,-0,-0,-0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-0,1,1,-0,0,0,1,0,1,1,1,1,0,1,1,1,-0,1,1,-0,-0,0,1,1,0,1,1,1,-0,0,0,1,1,1,1,1,1,1,1
446,1554,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0,1,1,1,1,-0,-0,0,-0,-0,0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0,0,1,1,0,-0,0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,0,-0,1,1,0,1,-0,1,-0,-0,0,1,1,1,1,1,1,1,1
447,1575,0,-0,0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
460,1630,0,0,-0,0,0,-0,0,0,-0,0,0,0,-0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,1,1,0,1,1,1,1,-0,-0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-0,1,1,0,0,-0,1,0,1,1,1,1,-0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,-0,-0,1,1,1,1,1,1,1,1
479,1645,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
481,1684,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,-0,0,1,0,1
502,1729,0,0,-0,-0,0,0,-0,1,1,0,1,1,-0,-0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-0,1,1,1,1,-0,-0,0,-0,-0,0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0,0,1,1,0,-0,0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,0,-0,1,1,0,1,-0,1,-0,-0,0,1,1,1,1,1,1,1,1
511,1772,0,-0,0,-0,0,0,1,1,1,-0,1,1,-0,-0,1,1,-0,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,1,1,0,1,1,1,1,-0,-0,-0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,-0,-0,1,1,-0,-0,-0,1,-0,1,1,1,1,0,1,1,1,0,1,1,0,-0,-0,1,1,0,1,1,1,-0,0,-0,1,1,1,1,1,1,1,1
545,1801,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
549,1846,0,0,-0,0,-0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,0,0,-0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,-0,1,1,1,0,0,1,-0,1
555,1858,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,-0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,-0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,-0,-0,1,0,1,1,-0,1,1,1,0,-0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,-0,1,1,1,1,1,1,1,1
585,1920,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,-0,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,1,1,-0,1,1,1,1,0,0,-0,-0,-0,-0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-0,0,0,1,0,1,1,1,1,1,1,0,-0,0,1,1,-0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
589,1945,0,0,-0,-0,0,-0,1,1,1,0,1,1,0,-0,1,1,0,1,1,1,1,1,1,1,1,1,1,-0,1,1,-0,1,1,1,1,0,1,1,1,1,1,-0,0,-0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-0,0,-0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
611,2004,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
635,2005,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,-0,1,0,-0,0,0,1,1,1,1,1,1,1,1,1,1,1,-0,-0,-0,1,1,1,1,1,1,1,-0,1,1,1,1,1,1,0,-0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
649,2020,0,0,0,0,0,0,-0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,1,1,-0,1,1,1,1,0,0,-0,0,-0,0,-0,1,1,1,1,1,1,1,1,1,1,1,-0,1,1,1,1,1,-0,-0,0,1,-0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0,1
693,2094,0,0,0,0,0,0,-0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1
